id,name,measure,amount,cho,kcal
1,Abacate (picado),colher de sopa cheia,45.00,3.00,79.00
2,Abacaxi,fatia média,75.00,10.00,44.00
3,Abacaxi em calda,fatia média,64.00,19.00,78.00
4,"Abacaxi, polpa, congelada",unidade,100.00,8.00,31.00
5,Abadejo assado,filé médio,100.00,0.00,112.00
6,Abaráv,unidade média,170.00,24.00,414.00
7,Abiu cru,unidade,100.00,15.00,62.00
8,"Abobora Cabotian, crua",colher de sopa,36.00,4.00,17.00
9,"Abobora cabotian, cozida",colher de sopa,36.00,3.00,14.00
10,Abobrinha recheada,unidade,100.00,6.00,89.00
11,"Abobrinha, italiana, cozida",colher de sopa,20.00,0.00,3.00
12,"Abobrinha, italiana, crua",colher de sopa,20.00,1.00,4.00
13,"Abobrinha, paulista, crua",colher de sopa,20.00,2.00,6.00
14,Abricó-do-pará,fatia média,100.00,13.00,64.00
15,Abóbora doce (picada),colher de sopa cheia,36.00,4.00,18.00
16,Abóbora d’água (picada),colher de sopa cheia,36.00,0.00,10.00
17,Abóbora moranga (picada),colher de sopa cheia,36.00,1.00,7.00
18,Acarajé,unidade média,100.00,22.00,282.00
19,Acelga (picada),colher de sopa cheia,6.00,0.00,2.00
20,Acerola,unidade,12.00,1.00,4.00
21,Achocolatado Diet Gold ®,colher de sopa,9.00,6.00,35.00
22,Achocolatado Diet Linea ®,colher de sopa,12.00,5.00,30.00
23,Acém magro cozido,pedaço médio,100.00,0.00,215.00
24,Agriao refogado,colher de sopa cheia,25.00,1.00,19.00
25,Agrião (picado),colher de sopa cheia,7.00,0.00,2.00
26,Aipim cozido,pedaço médio,100.00,29.00,120.00
27,Aipo inteiro (picado),colher de sopa cheia,10.00,0.00,2.00
28,Alcachofra,pedaço médio,20.00,1.00,6.00
29,Alcaparra,colher de sopa cheia,27.00,1.00,10.00
30,"Alface, americana, crua",folha média,10.00,0.00,1.00
31,"Alface, crespa, crua",folha média,10.00,0.00,1.00
32,"Alface, lisa, crua",folha média,10.00,0.00,1.00
33,"Alface, roxa, crua",folha média,10.00,0.00,1.00
34,Alfajor  ao leite Cacau Show®,unidade,40.00,23.00,120.00
35,Alfajor ao leite Cacau Show®,unidade,40.00,23.00,120.00
36,Alfajor recheado com doce de leite,unidade,25.00,15.00,98.00
37,Alfajor® recheado com doce de leite,unidade,25.00,15.00,98.00
38,Alfavaca crua,folha média,10.00,0.00,3.00
39,Algodão Doce,unidade,30.00,30.00,116.00
40,Algodão doce (Mavalério®),embalagem,35.00,35.00,140.00
41,Algodão doce tuti - frutti Snow Sugar®,1/2 xícara de chá,5.00,5.00,20.00
42,Algodão doce uva Snow Sugar®,1/2 xícara de chá,5.00,5.00,20.00
43,"Alho, cru",2 dentes,10.00,3.00,11.00
44,Alho-poró cru,porção pequena,20.00,3.00,11.00
45,Ambrosia,2 colheres de sopa cheias,80.00,33.00,207.00
46,Ameixa de queijo,unidade,12.00,7.00,36.00
47,Ameixa em calda,01 unidade média,7.00,5.00,20.00
48,Ameixa preta fresca,unidade média,42.00,4.00,18.00
49,Amendoim caramelizado,pacote pequeno,20.00,14.00,95.00
50,Amendoim cozido,2 colheres de sopa,34.00,7.00,108.00
51,"Amendoim, grão, cru",2 colheres de sopa,34.00,5.00,194.00
52,"Amendoim, torrado, salgado",2 colheres de sopa,34.00,5.00,194.00
53,Amido de arroz,colher de sopa cheia,20.00,17.00,70.00
54,Amido de milho,colher de sopa cheia,20.00,17.00,69.00
55,"Amora (branca, preta e vermelha)",unidade média,8.00,1.00,5.00
56,"Amora, geléia de",colher de sopa cheia,40.00,23.00,93.00
57,Amêndoa,01 unidade média,3.00,1.00,13.00
58,Angu,colher de sopa cheia,35.00,9.00,44.00
59,Angus DeLuxe (Mc’Donalds®),unidade,,56.00,863.00
60,Angus bacon (Mc’Donalds®),unidade,,57.00,861.00
61,Antepasto abobrinha escabeche,colher de sopa cheia,30.00,4.00,57.00
62,Antepasto alichella,colher de sopa cheia,30.00,1.00,106.00
63,Antepasto berinjela,colher de sopa cheia,30.00,4.00,88.00
64,Antepasto sardella,colher de sopa cheia,30.00,5.00,160.00
65,Apfelstrudell (folheado de maçã),porção grande,220.00,59.00,396.00
66,Apfelstrudell® (folheado de maçã),porção grande,220.00,59.00,396.00
67,Apresuntado,fatia média,15.00,0.00,69.00
68,Arroz branco cozido,colher de sopa cheia,20.00,5.00,26.00
69,Arroz carreteiro,colher de servir,45.00,5.00,70.00
70,Arroz com amendoas,colher de servir,60.00,18.00,75.00
71,Arroz com lentilha,colher de servir arroz,45.00,12.00,71.00
72,Arroz com lingüiça,3 colheres de arroz cheias,180.00,36.00,349.00
73,Arroz com pequi,3 colheres de arroz cheias,180.00,50.00,292.00
74,Arroz integral cozido,colher de sopa cheia,20.00,5.00,25.00
75,Arroz selvagem Tio João®,porção,50.00,35.00,170.00
76,Arroz sírio,colher de servir arroz,45.00,13.00,69.00
77,Arroz à grega,colher de servir,60.00,18.00,75.00
78,"Arroz, farinha de",colher de sopa cheia,17.00,14.00,62.00
79,"Arroz, flocos de",colher de sopa cheia,14.00,11.00,49.00
80,Arroz-doce,colher de sopa cheia,40.00,13.00,66.00
81,Aspargo em conserva,unidade média,7.00,0.00,2.00
82,Ataif,porção,100.00,13.00,124.00
83,Atum em água,colher de sopa cheia,16.00,0.00,45.00
84,Aveia em flocos crua,colher de sopa cheia,15.00,10.00,56.00
85,"Aveia, farinha de (crua)",colher de sopa cheia,18.00,12.00,71.00
86,"Aveia, flocos cozidos de",colher de sopa cheia,15.00,2.00,9.00
87,Avelã,unidade média,1.00,0.00,6.00
88,Azeite de dendê industrializado,colher de sopa cheia,8.00,0.00,71.00
89,Azeite de oliva (extra),colher de sopa cheia,8.00,0.00,72.00
90,Azeitona preta (parte comest.),unidade média,3.00,0.00,7.00
91,Azeitona verde (parte comest.),unidade média,4.00,0.00,12.00
92,Açafrão em pó,colher de sopa cheia,16.00,12.00,54.00
93,Açai  natural Frooty ®,6 colheres de sopa rasas,60.00,13.00,62.00
94,Açaí (polpa)  com xarope de guarana e glicose,taça pequena,100.00,21.00,110.00
95,Açaí polpa congelada,unidade,100.00,6.00,58.00
96,"Açaí, suco de",copo duplo cheio,240.00,72.00,438.00
97,Açúcar branco refinado,colher de sopa cheia,30.00,30.00,116.00
98,Açúcar cristal,colher de sopa cheia,24.00,24.00,96.00
99,Açúcar mascavo,colher de sopa cheia,19.00,17.00,70.00
100,BKTM batata suprema (Burguer King®),porção,,59.00,604.00
101,BKTM cheddar duplo (Burguer King®),unidade,,54.00,660.00
102,BKTM chicken crisp (Burguer King®),unidade,,68.00,667.00
103,BKTM chicken crisp furioso (Burguer King®),unidade,,80.00,930.00
104,BKTM chicken sandwich (Burguer King®),unidade,,53.00,609.00
105,BKTM fish (Burguer King®),unidade,,63.00,573.00
106,BKTM grilled chicken (Burguer King®),unidade,,56.00,508.00
107,BKTM nuggets (Burguer King®),porção,,12.00,148.00
108,BKTM pepperoni (Burguer King®),unidade,,30.00,270.00
109,BKTM picanha (Burguer King®),unidade,,53.00,922.00
110,BKTM stacker triplo com bacon (Burguer King®),unidade,,35.00,1529.00
111,Baba de moça,colher de sopa cheia,30.00,27.00,150.00
112,Babaganuche,1 porção,100.00,6.00,84.00
113,Bacalhoada,colher de sopa,30.00,2.00,51.00
114,Bacallhau cozido,escumadeira média,60.00,0.00,88.00
115,Bacon,fatia média,15.00,0.00,99.00
116,Bacon (Baked Potato®),concha,20.00,0.00,92.00
117,Bacuri,polpa de 1 fruto médio,90.00,0.00,870.00
118,Baguete congelada Qualita®,unidade pequena,50.00,25.00,124.00
119,Baião de dois,escumadeira cheia,100.00,20.00,136.00
120,Bala Delícia,unidade,5.00,4.00,20.00
121,Bala Delícia®,unidade,5.00,4.00,20.00
122,Bala Halls®,unidade,3.00,3.00,13.00
123,Bala Jujuba,unidade,3.00,3.00,12.00
124,Bala Toffe® Chocolate,unidade,6.00,22.00,151.00
