"id","gender","idade_inferior","idade_superior","valor_inferior","valor_superior","exam_id","reference_id","valido"
"1","","","","","5.70","1","1","true"
"2","","","","5.70","6.40","1","2","false"
"3","","","","6.40","","1","3","false"
"4","","","","70.00","99.00","2","","true"
"5","Masculino","","","4.40","5.90","3","","true"
"6","Feminino","","","4.00","5.20","3","","true"
"7","Masculino","","","13.00","18.00","4","","true"
"8","Feminino","","","12.00","16.00","4","","true"
"9","Masculino","","","40.00","54.00","5","","true"
"10","Feminino","","","36.00","48.00","5","","true"
"11","","","","80.00","96.00","6","","true"
"12","","","","27.00","33.00","7","","true"
"13","","","","32.00","36.00","8","","true"
"14","","","","11.50","14.50","9","","true"
"16","","","","4.00","11.00","10","","true"
"17","","","","0.00","1.00","11","","true"
"18","","","","1.00","5.00","12","","true"
"19","","","","1.00","7.00","15","","true"
"20","","","","40.00","65.00","16","","true"
"21","","","","22.00","45.00","17","","true"
"22","","","","2.00","10.00","18","","true"
"23","","12.000","","150.00","450.00","19","4","true"
"24","","0.000","12.000","150.00","550.00","19","5","true"
"25","","0.000","12.000","11.00","38.00","21","5","true"
"26","","12.000","60.000","13.00","43.00","21","6","true"
"27","","60.000","","17.00","49.00","21","7","true"
"28","Masculino","12.000","","0.70","1.30","22","","true"
"29","Feminino","12.000","","0.60","1.10","22","","true"
"30","","0.000","12.000","0.30","0.70","22","5","true"
"31","Masculino","","","59.00","160.00","23","","true"
"32","Feminino","","","37.00","150.00","23","","true"
"33","Masculino","","","","60.00","24","","true"
"34","Feminino","","","","43.00","24","","true"
"35","","0.000","0.010","","250.00","25","8","true"
"36","","0.010","0.020","","231.00","25","9","true"
"37","","0.020","0.580","","449.00","25","10","true"
"38","","0.580","1.000","","462.00","25","11","true"
"39","","1.000","3.000","","281.00","25","12","true"
"40","","4.000","6.000","","269.00","25","13","true"
"41","","7.000","12.000","","300.00","25","14","true"
"42","Masculino","12.000","17.000","","390.00","25","15","true"
"43","Masculino","17.000","","40.00","129.00","25","16","true"
"44","Feminino","13.000","17.000","","187.00","25","15","true"
"45","Feminino","17.000","","35.00","104.00","25","16","true"
"46","","19.000","","200.00","239.00","26","18","true"
"47","","19.000","","","200.00","26","17","false"
"48","","19.000","","240.00","","26","19","false"
"49","","2.000","19.000","","150.00","26","17","false"
"50","","2.000","19.000","150.00","169.00","26","18","true"
"51","","2.000","19.000","170.00","","26","19","false"
"52","","19.000","","","150.00","27","17","false"
"53","","19.000","","150.00","199.00","27","18","true"
"54","","19.000","","200.00","499.00","27","19","false"
"55","","19.000","","500.00","","27","20","false"
"56","","2.000","19.000","","100.00","27","17","false"
"57","","2.000","19.000","100.00","129.00","27","18","true"
"58","","2.000","19.000","130.00","","27","19","false"
"59","","19.000","","60.00","","28","17","true"
"60","","19.000","","","40.00","28","21","false"
"61","","2.000","19.000","45.00","","28","17","true"
"62","","","","","130.00","30","22","false"
"63","","","","130.00","159.00","30","17","true"
"64","","","","160.00","189.00","30","19","false"
"65","","","","190.00","","30","20","false"
"66","Masculino","","","","41.00","31","","true"
"67","Feminino","","","","33.00","31","","true"
"68","Masculino","","","","40.00","32","","true"
"69","Feminino","","","","32.00","32","","true"
"70","","14.000","60.000","0.70","1.90","33","","true"
"71","","60.000","","0.70","1.70","33","","true"
"72","","","","180.00","914.00","34","","true"
"74","","","","","20.00","37","24","false"
"75","","","","21.00","29.00","37","25","false"
"76","","","","30.00","100.00","37","26","true"
"77","","","","12.00","65.00","38","","true"
"78","","","","205.00","285.00","39","","true"
"79","","20.000","","","99.00","40","22","false"
"80","","20.000","","100.00","129.00","40","17","false"
"81","","20.000","","130.00","159.00","40","18","true"
"82","","20.000","","160.00","189.00","40","19","false"
"83","","20.000","","190.00","","40","20","false"
"84","","2.000","19.000","","99.00","40","17","false"
"85","","2.000","19.000","100.00","129.00","40","18","true"
"86","","2.000","19.000","130.00","","40","19","false"
"89","","","","1.30","18.40","42","23","false"
"90","","0.000","0.010","1.10","15.70","42","27","true"
"91","","0.020","0.190","0.60","9.20","42","28","true"
"92","","0.200","1.160","0.40","6.00","42","29","true"
"93","","1.170","5.000","0.40","5.20","42","30","true"
"94","","6.000","14.000","0.30","4.20","42","","true"
"95","","15.000","60.000","0.30","4.30","42","","true"
"96","","61.000","79.000","0.40","5.80","42","","true"
"97","","80.000","","0.40","6.70","42","","true"
"98","","","","0.10","2.50","42","31","false"
"99","","","","0.20","3.00","42","32","false"
"100","","","","0.30","3.00","42","33","false"
"101","","","0.080","5.20","23.20","43","34","true"
"102","","0.090","0.900","5.40","16.00","43","35","true"
"103","","1.000","6.000","5.30","14.80","43","","true"
"104","","7.000","11.000","5.70","14.10","43","","true"
"105","","","","4.50","12.50","43","4","true"
"106","","","","2.00","13.00","44","","true"
"107","Feminino","","","2.00","23.30","45","","true"
"108","Masculino","","","2.00","15.20","45","","true"
"109","Feminino","","","107.40","278.20","46","","true"
"110","Masculino","","","132.50","254.90","46","","true"
"111","Feminino","","","1.36","2.44","47","","true"
"112","Masculino","","","1.54","2.66","47","","true"
"113","","","","","115.00","48","","true"
"114","","","","","34.00","49","","true"
"115","","","","","4.00","50","37","false"
"116","","","","5.00","25.00","50","38","false"
"117","","","","26.00","","50","36","false"
"118","","","","","8.00","50","39","false"
"119","","","","1.00","3.00","51","","true"
"120","","","","70.00","100.00","52","","true"
"121","","","","","8.00","53","40","true"
"122","Masculino","","","","15.00","61","","true"
"123","Feminino","","","","20.00","61","","true"
"124","","","","","9.00","62","43","true"
"125","","","","10.00","","62","42","false"
"126","","","","","1.00","63","43","true"
"129","","","","6.40","8.20","65","","true"
"130","","","","3.50","5.00","66","","true"
"131","","","","1.40","3.00","67","","true"
"132","","","","","0.40","68","","true"
"133","","","","","0.80","69","","true"
"134","","","","","1.20","70","","true"
"135","","","","","140.00","71","47","true"
"136","","","1.000","","110.00","72","48","true"
"137","","1.000","12.000","15.00","250.00","72","49","true"
"138","","12.000","","70.00","400.00","72","4","true"
"139","","0.000","1.000","250.00","1200.00","73","48","true"
"140","","1.000","12.000","340.00","1600.00","73","49","true"
"141","","12.000","","650.00","1600.00","73","4","true"
"142","","0.000","1.000","20.00","150.00","74","48","true"
"143","","1.000","12.000","45.00","300.00","74","49","true"
"144","","12.000","","60.00","350.00","74","4","true"
"145","","","","","1.50","75","50","false"
"146","","","0.900","1.60","15.00","75","52","true"
"147","","1.000","5.000","16.00","60.00","75","","true"
"148","","6.000","9.000","60.10","90.00","75","","true"
"149","","10.000","14.000","90.10","200.00","75","","true"
"150","","15.000","","","160.00","75","51","true"
"151","","16.000","","180.00","350.00","76","51","true"
"152","","0.000","15.000","150.00","300.00","76","5","true"
"153","Masculino","12.000","","3.50","7.20","77","","true"
"154","Feminino","12.000","","2.60","6.00","77","","true"
"155","","0.000","12.000","2.00","5.00","77","5","true"
"156","Masculino","","","","190.00","78","","true"
"157","Feminino","","","","167.00","78","","true"
"158","","","","2.30","","79","1","true"
"159","","","","","3.80","80","53","true"
"160","","","","","5.40","80","54","true"
"161","","","","","35.00","81","","true"
"162","","","","","30.00","82","","true"
"163","Masculino","","","220.00","819.00","83","","true"
"164","Feminino","","","3.00","63.00","83","","true"
"165","","","","","32.00","83","55","false"
"166","","","0.020","108.00","607.00","84","56","true"
"167","","0.030","0.080","32.00","431.00","84","57","true"
"168","","0.090","0.990","3.00","124.00","84","58","true"
"169","","1.000","4.000","0.50","19.00","84","","true"
"170","","5.000","9.000","3.00","85.00","84","","true"
"171","","10.000","14.000","24.00","280.00","84","","true"
"172","","15.000","19.000","65.00","492.00","84","","true"
"173","","20.000","24.000","148.00","492.00","84","","true"
"174","","25.000","34.000","99.00","449.00","84","","true"
"175","","35.000","44.000","61.00","427.00","84","","true"
"176","","45.000","54.000","35.00","331.00","84","","true"
"177","","55.000","64.000","19.00","295.00","84","","true"
"178","","65.000","74.000","10.00","249.00","84","","true"
"179","","75.000","","10.00","154.00","84","59","true"
"180","Feminino","","","2.40","12.60","85","60","false"
"181","Feminino","","","14.00","95.60","85","61","false"
"182","Feminino","","","1.00","11.40","85","62","false"
"183","Feminino","","","14.20","52.30","85","63","false"
"184","Masculino","","","1.70","8.60","85","","true"
"185","","","","","1.40","85","55","false"
"186","Feminino","","","13.00","166.00","86","60","false"
"187","Feminino","","","86.00","498.00","86","61","false"
"188","Feminino","","","44.00","211.00","86","62","false"
"189","Feminino","","","","55.00","86","63","false"
"190","Masculino","","","","43.00","86","","true"
"191","","","","","20.00","86","55","false"
"192","Feminino","","","3.50","12.50","87","60","false"
"193","Feminino","","","4.70","21.50","87","61","false"
"194","Feminino","","","1.70","7.70","87","62","false"
